#,Date,Title (Hebrew),Title (English),YouTube Link
178,20-Dec-24,"דבר תורה קצר לפרשת וישב התשפ""ה",A short Dvar Torah for Parashat Vayeshev,https://www.youtube.com/watch?v=Epy70JDOi48
179,27-Dec-24,"דבר תורה קצר לפרשת מקץ התשפ""ה",A short Dvar Torah for Parashat Miketz,https://www.youtube.com/watch?v=jrl3gDAHE9A
180,3-Jan-25,"דבר תורה קצר לפרשת ויגש התשפ""ה",A short Dvar Torah for Parashat Vayigash,https://www.youtube.com/watch?v=l_cH-DTcxTo
181,10-Jan-25,"דבר תורה קצר לפרשת ויחי התשפ""ה",A short Dvar Torah for Parashat Vayechi,https://www.youtube.com/watch?v=d8bBQBT3SIE
182,17-Jan-25,דבר תורה קצר לפרשת שמות התשפ״ה,A short Dvar Torah for Parashat Shemot,https://www.youtube.com/watch?v=Dj-ndJDDR8w
183,24-Jan-25,דבר תורה קצר לפרשת וארא התשפ״ה,A short Dvar Torah for Parashat Vaera,https://www.youtube.com/watch?v=GYWUKdfhUI0
184,31-Jan-25,"דבר תורה קצר לפרשת בא התשפ""ה",A short Dvar Torah for Parashat Bo,https://www.youtube.com/watch?v=qfhWAyIT58w
185,7-Feb-25,דבר תורה קצר לפרשת בשלח התשפ״ה,A short Dvar Torah for Parashat Beshalach,https://www.youtube.com/watch?v=_WPiDlqYEv4
186,14-Feb-25,"דבר תורה קצר לפרשת יתרו התשפ""ה",A short Dvar Torah for Parashat Yitro,https://www.youtube.com/watch?v=NgF9EQkzFtY
187,21-Feb-25,דבר תורה קצר לפרשת משפטים התשפ״ה,A short Dvar Torah for Parashat Mishpatim,https://www.youtube.com/watch?v=Jp8R_-Q2jBc
188,28-Feb-25,דבר תורה קצר לפרשת תרומה התשפ״ה,A short Dvar Torah for Parashat Terumah,https://www.youtube.com/watch?v=J6REHTE2MuU
189,7-Mar-25,דבר תורה קצר לפרשת תצוה התשפ״ה,A short Dvar Torah for Parashat Tetzaveh,https://www.youtube.com/watch?v=zT13vylD4oc
190,14-Mar-25,דבר תורה קצר לפרשת כי תשא התשפ״ה,A short Dvar Torah for Parashat Ki Tisa,https://www.youtube.com/watch?v=YxNjRd1cuq4
191,21-Mar-25,דבר תורה קצר לפרשת ויקהל התשפ״ה,A short Dvar Torah for Parashat Vayakhel,https://www.youtube.com/watch?v=5HWp2GNtzhA
192,28-Mar-25,דבר תורה קצר לפרשת פקודי התשפ״ה,A short Dvar Torah for Parashat Pekudei,https://www.youtube.com/watch?v=MVBM6tzZFrk
193,4-Apr-25,דבר תורה קצר לפרשת ויקרא התשפ״ה,A short Dvar Torah for Parashat Vayikra,https://www.youtube.com/watch?v=BVL_XQAefk8
194,11-Sep-25,דבר תורה קצר לפרשת צו התשפ״ה,A short Dvar Torah for Parashat Tzav,https://www.youtube.com/watch?v=vRZXygDpHfM
195,25-Apr-25,דבר תורה קצר לפרשת שמיני התשפ״ה,A short Dvar Torah for Parashat Shmini,https://www.youtube.com/watch?v=XDh6bEfPfX0
196,2-May-25,דבר תורה קצר לפרשת תזריע-מצורע התשפ״ה,A short Dvar Torah for Parashat Tazria-Metzora,https://www.youtube.com/watch?v=Z57qknQVaIQ
197,9-May-25,דבר תורה קצר לפרשת אחרי מות-קדושים התשפ״ה,A short Dvar Torah for Parashat Achrei Mot-Kedoshim,https://www.youtube.com/watch?v=2LPz8mWRdbA
198,16-May-25,דבר תורה קצר לפרשת אמור התשפ״ה,A short Dvar Torah for Parashat Emor,https://www.youtube.com/watch?v=l508bFvkZXM
199,23-May-25,דבר תורה קצר לפרשת בהר-בחוקותי התשפ״ה,A short Dvar Torah for Parashat Behar - Bechukotai,https://www.youtube.com/watch?v=Av-EmVm2m_U
200,30-May-25,דבר תורה קצר לפרשת במדבר התשפ״ה,A short Dvar Torah for Parashat Bamidbar,https://www.youtube.com/watch?v=6YI_U_ImAzs
201,6-Jun-25,דבר תורה קצר לפרשת נשא התשפ״ה,A short Dvar Torah for Parashat Nasso,https://www.youtube.com/watch?v=SSPCaAdzghE
202,13-Jun-25,דבר תורה קצר לפרשת בהעלותך התשפ״ה,A short Dvar Torah for Parashat Beha’alotcha,https://www.youtube.com/watch?v=xm0Ov5rj6SI
203,20-Jun-25,דבר תורה קצר לפרשת שלח התשפ״ה,A short Dvar Torah for Parashat Sh’lach,https://www.youtube.com/watch?v=BWFlZrFNco0
204,27-Jun-25,דבר תורה קצר לפרשת קורח התשפ״ה,A short Dvar Torah for Parashat Korach,https://www.youtube.com/watch?v=eWQChVPToZA
205,4-Jul-25,דבר תורה קצר לפרשת חקת התשפ״ה,A short Dvar Torah for Parashat Chukat,https://www.youtube.com/watch?v=JUZXTMrnYcE
206,11-Jul-25,דבר תורה קצר לפרשת בלק התשפ״ה,A short Dvar Torah for Parashat Balak,https://www.youtube.com/watch?v=Wjkk0OiVsfs
207,18-Jul-25,דבר תורה קצר לפרשת פינחס התשפ״ה,A short Dvar Torah for Parashat Pinchas,https://www.youtube.com/watch?v=djyrIodmtrU
208,25-Jul-25,דבר תורה קצר לפרשת מטות מסעי התשפ״ה,A short Dvar Torah for Parashat Matot - Masei,https://www.youtube.com/watch?v=EOuwnrmkKlg
209,1-Aug-25,דבר תורה קצר לפרשת דברים התשפ״ה,A short Dvar Torah for Parashat Devarim,https://www.youtube.com/watch?v=9aHAzKc_3oE
210,8-Aug-25,דבר תורה קצר לפרשת ואתחנן התשפ״ה,A short Dvar Torah for Parashat Vaetchanan,https://www.youtube.com/watch?v=KCHl1X_Kcoc
211,15-Aug-25,"דבר תורה קצר לפרשת עקב התשפ""ה",A short Dvar Torah for Parashat Eikev,https://www.youtube.com/watch?v=BDS-GNJSKF8
212,22-Aug-25,"דבר תורה קצר לפרשת ראה התשפ""ה",A short Dvar Torah for Parashat Re’eh,https://www.youtube.com/watch?v=u6QNH-lK40U
213,29-Aug-25,"דבר תורה קצר לפרשת שופטים התשפ""ה",A short Dvar Torah for Parashat Shoftim,https://www.youtube.com/watch?v=ptZ1PZb85ec
214,5-Sep-25,"דבר תורה קצר לפרשת כי תצא התשפ""ה",A short Dvar Torah for Parashat Ki Teitzei,https://www.youtube.com/watch?v=S7nzd2xN8rY
215,12-Sep-25,"דבר תורה קצר לפרשת כי תבוא התשפ""ה",A short Dvar Torah for Parashat Ki Tavo,https://www.youtube.com/watch?v=KmGy6Vq5HOk
216,19-Sep-25,"דבר תורה קצר לפרשת נצבים התשפ""ה",A short Dvar Torah for Parashat Nitzavim,https://www.youtube.com/watch?v=xYViIt8a9cM
217,26-Sep-25,דבר תורה קצר לפרשת וילך התשפ״ו,A short Dvar Torah for Parashat Vayeilech,https://www.youtube.com/watch?v=uKJatOuehWk
218,3-Oct-25,"דבר תורה קצר לפרשת האזינו התשפ""ו",A short Dvar Torah for Parashat Ha’azinu,https://www.youtube.com/watch?v=rwoPQqJebDQ
219,17-Oct-25,"דבר תורה קצר לפרשת בראשית התשפ""ו",A short Dvar Torah for Parashat Bereshit,https://www.youtube.com/watch?v=U6JH8bANkFY
220,24-Oct-25,"דבר תורה קצר לפרשת נח התשפ""ו",A short Dvar Torah for Parashat Noach,https://www.youtube.com/watch?v=uVp0NghTkCE&amp;t=1s
221,31-Oct-25,"דבר תורה קצר לפרשת לך לך התשפ""ו",A short Dvar Torah for Parashat Lech-Lecha,https://www.youtube.com/watch?v=49RdjejTZzo
222,7-Nov-25,"דבר תורה קצר לפרשת וירא התשפ""ו",A short Dvar Torah for Parashat Vayera,https://www.youtube.com/watch?v=aki9fq988Ok
223,14-Nov-25,דבר תורה קצר לפרשת חיי שרה,A short Torah commentary on the life of Sarah 5775,https://www.youtube.com/watch?v=8tk3dLDaJk4
224,21-Nov-25,"דבר תורה קצר לפרשת תולדות התשפ""ו",A short Dvar Torah for Parashat Toledot,https://www.youtube.com/watch?v=LPeN9K-Y2RI
225,28-Nov-25,"דבר תורה קצר לפרשת ויצא התשפ""ו",A short Dvar Torah for Parashat Vayetzei,https://www.youtube.com/watch?v=vsbHoiSqo_Y
226,5-Dec-25,"דבר תורה קצר לפרשת וישלח התשפ""ו",A short Dvar Torah for Parashat Vayishlach,https://www.youtube.com/watch?v=KiTY0M3Mh7U
227,12-Dec-25,"דבר תורה קצר לפרשת וישב התשפ""ו",A short Dvar Torah for Parashat Vayeshev,https://www.youtube.com/watch?v=l6gozJWip34
228,19-Dec-25,"דבר תורה קצר לפרשת מקץ התשפ""ו",A short Dvar Torah for Parashat Miketz,https://www.youtube.com/watch?v=9tTU-GP4sMs
229,26-Dec-25,"דבר תורה קצר לפרשת ויגש התשפ""ו",A short Dvar Torah for Parashat Vayigash,https://www.youtube.com/watch?v=wBP1IbTzR44
230,2-Jan-26,"דבר תורה קצר לפרשת ויחי התשפ""ו",A short Dvar Torah for Parashat Vayechi,https://www.youtube.com/watch?v=tOVAFWHxF3c
231,9-Jan-26,"דבר תורה קצר לפרשת שמות התשפ""ו",A short Dvar Torah for Parashat Shemot,https://www.youtube.com/watch?v=nPFQR9CPA8E
232,16-Jan-26,"דבר תורה קצר לפרשת וארא התשפ""ו",A short Dvar Torah for Parashat Vaera,https://www.youtube.com/watch?v=6qPbsnV7Fns
233,23-Jan-26,"דבר תורה קצר לפרשת בא התשפ""ו",A short Dvar Torah for Parashat Bo,https://www.youtube.com/watch?v=YdrF5Wzru-g
234,30-Jan-26,"דבר תורה קצר לפרשת בשלח התשפ""ו",A short Dvar Torah for Parashat Beshalach,https://www.youtube.com/watch?v=nAs4Ytg4kgY
235,6-Feb-26,דבר תורה קצר לפרשת יתרו התשפ״ו,A short Dvar Torah for Parashat Yitro,https://www.youtube.com/watch?v=z1-u_nfSJEI
236,13-Feb-26,דבר תורה קצר לפרשת משפטים התשפ״ו,A short Dvar Torah for Parashat Mishpatim,https://www.youtube.com/watch?v=ab49UY9g3tk
237,20-Feb-26,"דבר תורה קצר לפרשת תרומה התשפ""ו",A short Dvar Torah for Parashat Terumah,https://www.youtube.com/watch?v=j7b8ivo-B5A
238,27-Feb-26,"דבר תורה קצר לפרשת תצוה התשפ""ו",A short Dvar Torah for Parashat Tetzaveh,https://www.youtube.com/watch?v=zkxzr0c6vq8
239,6-Mar-26,דבר תורה קצר לפרשת כי תשא התשפ״ו,A short Dvar Torah for Parashat Ki Tisa,https://www.youtube.com/watch?v=nJDkRZ_fbLk
240,13-Mar-26,"דבר תורה קצר לפרשת ויקהל- פקודי התשפ""ו",A short Dvar Torah for Parashat Vayakhel-Pekudei,https://www.youtube.com/watch?v=-0uVuYeTcAg
241,20-Mar-26,דבר תורה קצר לפרשת ויקרא התשפ״ו,A short Dvar Torah for Parashat Vayikra,https://www.youtube.com/watch?v=8S1bAAu1nYM
242,27-Mar-26,דבר תורה קצר לפרשת צו התשפ״ו,A short Dvar Torah for Parashat Tzav,https://www.youtube.com/watch?v=GknwJLhxARs
243,10-Apr-26,דבר תורה קצר לפרשת שמיני התשפ״ו,A short Dvar Torah for Parashat Shmini,https://www.youtube.com/watch?v=adHxpkDv5PM
244,17-Apr-26,דבר תורה קצר לפרשת תזריע-מצורע התשפ״ו,A short Dvar Torah for Parashat Tazria-Metzora,https://www.youtube.com/watch?v=YmKnz0tESZg
245,24-Apr-26,דבר תורה קצר לפרשת אחרי מות קדושים התשפ”ו,A short Dvar Torah for Parashat Achrei Mot-Kedoshim,https://www.youtube.com/watch?v=Q6lh_ogwtwo
246,1-May-26,דבר תורה קצר לפרשת אמור התשפ״ו,A short Dvar Torah for Parashat Emor,https://www.youtube.com/watch?v=Uv2cbaqTQyM
247,8-May-26,דבר תורה קצר לפרשת בהר-בחוקותי התשפ״ו,A short Dvar Torah for Parashat Behar - Bechukotai,https://www.youtube.com/watch?v=udOMr01KToo
248,15-May-26,דבר תורה קצר לפרשת במדבר התשפ״ו,A short Dvar Torah for Parashat Bamidbar,https://www.youtube.com/watch?v=uhZZR7x4OsQ
249,29-May-26,דבר תורה קצר לפרשת נשא התשפ״ו,A short Dvar Torah for Parashat Nasso,https://www.youtube.com/watch?v=2EXklQcARG0
250,29-May-26,דבר תורה קצר לפרשת בהעלותך התשפ״ו,A short Dvar Torah for Parashat Beha’alotcha,https://www.youtube.com/watch?v=nhpdKcRHh6w
251,5-Jun-26,דבר תורה קצר לפרשת שלח לך התשפ״ו,A short Dvar Torah for Parashat Sh’lach,https://www.youtube.com/watch?v=AtX4Ip4ZJ9w
252,12-Jun-26,דבר תורה קצר לפרשת קורח התשפ״ו,A short Dvar Torah for Parashat Korach,https://www.youtube.com/watch?v=cnDk3GOPFF8
253,19-Jun-26,דבר תורה קצר לפרשת חקת התשפ״ו,A short Dvar Torah for Parashat Chukat,https://www.youtube.com/watch?v=-Ag0YXeCJbk
